"","station","Från Datum Tid (UTC)","Till Datum Tid (UTC)","year","month","Rain","Kvalitet","Latitude","Longitude"
"110","Faaroo.csv","1890-12-01 07:00:01","1891-01-01 07:00:00","1890","12",12,"G",57.95481,19.2459
"111","Faaroo.csv","1891-01-01 07:00:01","1891-02-01 07:00:00","1891","01",20,"G",57.95481,19.2459
"112","Faaroo.csv","1891-02-01 07:00:01","1891-03-01 07:00:00","1891","02",4,"G",57.95481,19.2459
"113","Faaroo.csv","1891-03-01 07:00:01","1891-04-01 07:00:00","1891","03",15,"G",57.95481,19.2459
"114","Faaroo.csv","1891-04-01 07:00:01","1891-05-01 07:00:00","1891","04",9,"G",57.95481,19.2459
"115","Faaroo.csv","1891-05-01 07:00:01","1891-06-01 07:00:00","1891","05",28,"G",57.95481,19.2459
"116","Faaroo.csv","1891-06-01 07:00:01","1891-07-01 07:00:00","1891","06",33,"G",57.95481,19.2459
"117","Faaroo.csv","1891-07-01 07:00:01","1891-08-01 07:00:00","1891","07",52,"G",57.95481,19.2459
"118","Faaroo.csv","1891-08-01 07:00:01","1891-09-01 07:00:00","1891","08",47,"G",57.95481,19.2459
"119","Faaroo.csv","1891-09-01 07:00:01","1891-10-01 07:00:00","1891","09",36,"G",57.95481,19.2459
"120","Faaroo.csv","1891-10-01 07:00:01","1891-11-01 07:00:00","1891","10",21,"G",57.95481,19.2459
"121","Faaroo.csv","1891-11-01 07:00:01","1891-12-01 07:00:00","1891","11",47,"G",57.95481,19.2459
"122","Faaroo.csv","1891-12-01 07:00:01","1892-01-01 07:00:00","1891","12",54,"G",57.95481,19.2459
"123","Faaroo.csv","1892-01-01 07:00:01","1892-02-01 07:00:00","1892","01",24,"G",57.95481,19.2459
"124","Faaroo.csv","1892-02-01 07:00:01","1892-03-01 07:00:00","1892","02",14,"G",57.95481,19.2459
"125","Faaroo.csv","1892-03-01 07:00:01","1892-04-01 07:00:00","1892","03",1,"G",57.95481,19.2459
"126","Faaroo.csv","1892-04-01 07:00:01","1892-05-01 07:00:00","1892","04",13,"G",57.95481,19.2459
"127","Faaroo.csv","1892-05-01 07:00:01","1892-06-01 07:00:00","1892","05",28,"G",57.95481,19.2459
"128","Faaroo.csv","1892-06-01 07:00:01","1892-07-01 07:00:00","1892","06",48,"G",57.95481,19.2459
"129","Faaroo.csv","1892-07-01 07:00:01","1892-08-01 07:00:00","1892","07",47,"G",57.95481,19.2459
"130","Faaroo.csv","1892-08-01 07:00:01","1892-09-01 07:00:00","1892","08",61,"G",57.95481,19.2459
"131","Faaroo.csv","1892-09-01 07:00:01","1892-10-01 07:00:00","1892","09",11,"G",57.95481,19.2459
"132","Faaroo.csv","1892-10-01 07:00:01","1892-11-01 07:00:00","1892","10",53,"G",57.95481,19.2459
"133","Faaroo.csv","1892-11-01 07:00:01","1892-12-01 07:00:00","1892","11",14,"G",57.95481,19.2459
"134","Faaroo.csv","1892-12-01 07:00:01","1893-01-01 07:00:00","1892","12",15,"G",57.95481,19.2459
"135","Faaroo.csv","1893-01-01 07:00:01","1893-02-01 07:00:00","1893","01",8,"G",57.95481,19.2459
"136","Faaroo.csv","1893-02-01 07:00:01","1893-03-01 07:00:00","1893","02",14,"G",57.95481,19.2459
"137","Faaroo.csv","1893-03-01 07:00:01","1893-04-01 07:00:00","1893","03",16,"G",57.95481,19.2459
"138","Faaroo.csv","1893-04-01 07:00:01","1893-05-01 07:00:00","1893","04",5,"G",57.95481,19.2459
"139","Faaroo.csv","1893-05-01 07:00:01","1893-06-01 07:00:00","1893","05",8,"G",57.95481,19.2459
"140","Faaroo.csv","1893-06-01 07:00:01","1893-07-01 07:00:00","1893","06",13,"G",57.95481,19.2459
"141","Faaroo.csv","1893-07-01 07:00:01","1893-08-01 07:00:00","1893","07",20,"G",57.95481,19.2459
"142","Faaroo.csv","1893-08-01 07:00:01","1893-09-01 07:00:00","1893","08",51,"G",57.95481,19.2459
"143","Faaroo.csv","1893-09-01 07:00:01","1893-10-01 07:00:00","1893","09",95,"G",57.95481,19.2459
"144","Faaroo.csv","1893-10-01 07:00:01","1893-11-01 07:00:00","1893","10",46,"G",57.95481,19.2459
"145","Faaroo.csv","1893-11-01 07:00:01","1893-12-01 07:00:00","1893","11",33,"G",57.95481,19.2459
"146","Faaroo.csv","1893-12-01 07:00:01","1894-01-01 07:00:00","1893","12",4,"G",57.95481,19.2459
"147","Faaroo.csv","1894-01-01 07:00:01","1894-02-01 07:00:00","1894","01",21,"G",57.95481,19.2459
"148","Faaroo.csv","1894-02-01 07:00:01","1894-03-01 07:00:00","1894","02",19,"G",57.95481,19.2459
"149","Faaroo.csv","1894-03-01 07:00:01","1894-04-01 07:00:00","1894","03",13,"G",57.95481,19.2459
"150","Faaroo.csv","1894-04-01 07:00:01","1894-05-01 07:00:00","1894","04",24,"G",57.95481,19.2459
"151","Faaroo.csv","1894-05-01 07:00:01","1894-06-01 07:00:00","1894","05",35,"G",57.95481,19.2459
"152","Faaroo.csv","1894-06-01 07:00:01","1894-07-01 07:00:00","1894","06",20,"G",57.95481,19.2459
"153","Faaroo.csv","1894-07-01 07:00:01","1894-08-01 07:00:00","1894","07",38,"G",57.95481,19.2459
"154","Faaroo.csv","1894-08-01 07:00:01","1894-09-01 07:00:00","1894","08",40,"G",57.95481,19.2459
"155","Faaroo.csv","1894-09-01 07:00:01","1894-10-01 07:00:00","1894","09",52,"G",57.95481,19.2459
"156","Faaroo.csv","1894-10-01 07:00:01","1894-11-01 07:00:00","1894","10",32,"G",57.95481,19.2459
"157","Faaroo.csv","1894-11-01 07:00:01","1894-12-01 07:00:00","1894","11",24,"G",57.95481,19.2459
"158","Faaroo.csv","1894-12-01 07:00:01","1895-01-01 07:00:00","1894","12",44,"G",57.95481,19.2459
"159","Faaroo.csv","1895-01-01 07:00:01","1895-02-01 07:00:00","1895","01",8,"G",57.95481,19.2459
"160","Faaroo.csv","1895-02-01 07:00:01","1895-03-01 07:00:00","1895","02",11,"G",57.95481,19.2459
"161","Faaroo.csv","1895-03-01 07:00:01","1895-04-01 07:00:00","1895","03",14,"G",57.95481,19.2459
"162","Faaroo.csv","1895-04-01 07:00:01","1895-05-01 07:00:00","1895","04",12,"G",57.95481,19.2459
"163","Faaroo.csv","1895-05-01 07:00:01","1895-06-01 07:00:00","1895","05",11,"G",57.95481,19.2459
"164","Faaroo.csv","1895-06-01 07:00:01","1895-07-01 07:00:00","1895","06",6,"G",57.95481,19.2459
"165","Faaroo.csv","1895-07-01 07:00:01","1895-08-01 07:00:00","1895","07",78,"G",57.95481,19.2459
"166","Faaroo.csv","1895-08-01 07:00:01","1895-09-01 07:00:00","1895","08",110,"G",57.95481,19.2459
"167","Faaroo.csv","1895-09-01 07:00:01","1895-10-01 07:00:00","1895","09",23,"G",57.95481,19.2459
"168","Faaroo.csv","1895-10-01 07:00:01","1895-11-01 07:00:00","1895","10",51,"G",57.95481,19.2459
"169","Faaroo.csv","1895-11-01 07:00:01","1895-12-01 07:00:00","1895","11",47,"G",57.95481,19.2459
"170","Faaroo.csv","1895-12-01 07:00:01","1896-01-01 07:00:00","1895","12",22,"G",57.95481,19.2459
"171","Faaroo.csv","1896-01-01 07:00:01","1896-02-01 07:00:00","1896","01",12,"G",57.95481,19.2459
"172","Faaroo.csv","1896-02-01 07:00:01","1896-03-01 07:00:00","1896","02",9,"G",57.95481,19.2459
"173","Faaroo.csv","1896-03-01 07:00:01","1896-04-01 07:00:00","1896","03",30,"G",57.95481,19.2459
"174","Faaroo.csv","1896-04-01 07:00:01","1896-05-01 07:00:00","1896","04",18,"G",57.95481,19.2459
"175","Faaroo.csv","1896-05-01 07:00:01","1896-06-01 07:00:00","1896","05",18,"G",57.95481,19.2459
"176","Faaroo.csv","1896-06-01 07:00:01","1896-07-01 07:00:00","1896","06",8,"G",57.95481,19.2459
"177","Faaroo.csv","1896-07-01 07:00:01","1896-08-01 07:00:00","1896","07",34,"G",57.95481,19.2459
"178","Faaroo.csv","1896-08-01 07:00:01","1896-09-01 07:00:00","1896","08",125,"G",57.95481,19.2459
"179","Faaroo.csv","1896-09-01 07:00:01","1896-10-01 07:00:00","1896","09",32,"G",57.95481,19.2459
"180","Faaroo.csv","1896-10-01 07:00:01","1896-11-01 07:00:00","1896","10",48,"G",57.95481,19.2459
